filename,prompt

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__bbed0ff2-70fa-402f-97ec-734a563c5765.png,""a passageway of mummies inside islamic temple in lisbon, egypt, in the style of , vray tracing, columns and totems, , serene landscapism, 500â€“1000 ce, fine detailed"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__bbed0ff2-70fa-402f-97ec-734a563c5765.png,""the courtyard of the temple of akhenath, in the style of , , 32k uhd, , columns and totems, passage, light bronze"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__c5580a55-5cea-4fce-a13e-1aee5fcef673.png,""a corridor filled with beautiful statues of the egyptian pharaonic dynasty, in the style of vray tracing, outdoor art, minimalistic serenity, columns and totems, firecore, reduced-scale architecture, daz3d"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__c5580a55-5cea-4fce-a13e-1aee5fcef673.png,""an interior corridor with columns and trees, in the style of , stone sculptures, 8k resolution, , solarizing master, high resolution,"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__c5580a55-5cea-4fce-a13e-1aee5fcef673.png,""an archway with large columns and statues, in the style of vray tracing, , minimalistic symmetry, monolithic structures, firecore, , serenity and harmony"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__c5580a55-5cea-4fce-a13e-1aee5fcef673.png,""the archway of the pharaoh's house, in the style of vray tracing, buddhist art and architecture, modernist street scenes, clean-lined, columns and totems, vray, serene simplicity"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__dc982ba1-99d5-45ad-9b13-7680073a75fa.png,""an old stone building in egypt with columns, in the style of expansive spaces, subtle use of light and shadow, buddhist art and architecture, solarizing master, smooth lines, passage, dark beige and sky-blue"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__dc982ba1-99d5-45ad-9b13-7680073a75fa.png,""the building has large stone columns, in the style of egyptian art, luminous shadows, flattened perspective, orderly symmetry, firecore, kintsugi, soft atmospheric perspective"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__dc982ba1-99d5-45ad-9b13-7680073a75fa.png,""the columns in the sun, in the style of ancient egypt, modernist architecture, subtle use of light and shadow, firecore, expansive spaces, high resolution,"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__dc982ba1-99d5-45ad-9b13-7680073a75fa.png,""the pillars all have blue skies over them, in the style of , vray tracing, digitally enhanced, 8k resolution, , iso 200,"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__e3f68fde-f1b8-4bf0-b87f-c7918ba74930.png,""large columns in an ancient egyptian temple area, in the style of subtle use of light and shadow, precisionist lines, solarizing master, , wide angle lens, , vray"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__e3f68fde-f1b8-4bf0-b87f-c7918ba74930.png,""a courtyard with lots of column, in the style of ancient egypt, 8k resolution, subtle tonal values, wide angle lens, solarizing master, monolithic structures, oku art"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__e3f68fde-f1b8-4bf0-b87f-c7918ba74930.png,""a street with many columns, in the style of ancient egypt, 8k resolution, zeiss batis 18mm f/2.8, highly polished surfaces, physically based rendering, expansive spaces, subtle tonal values"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__e3f68fde-f1b8-4bf0-b87f-c7918ba74930.png,""a number of pillars are placed before a tall building, in the style of egyptian art, intense lighting and shadow, firecore, precisionist lines, tranquil serenity, wide angle lens, rinpa school"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_28d93d2d-bbcf-45d0-87f9-1e24f971b49f.png,""an old hallway of stone columns in an egyptian temple, in the style of solarizing master, ominous vibe, national geographic photo, exacting precision, cabincore, light white and light maroon, raw street photography"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_28d93d2d-bbcf-45d0-87f9-1e24f971b49f.png,""this image shows a lot of columns in an egyptian temple, in the style of solarizing master, documentary photography, tokina at-x 11-16mm f/2.8 pro dx ii, photographically detailed portraitures, uhd image, passage, cabincore"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_28d93d2d-bbcf-45d0-87f9-1e24f971b49f.png,""an ancient egyptian palace with columns and walkway leading to it, in the style of ricoh gr iii, traditional craftsmanship, solarizing master, straight photography, cabincore, passage, light gray and maroon"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_28d93d2d-bbcf-45d0-87f9-1e24f971b49f.png,""an ancient hallway with columns and some statues behind it, in the style of solarizing master, low-angle, , straight photography, spectacular backdrops, cabincore, light gray and maroon"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_3101e86f-6bc5-4905-a168-48961bc497d2.png,""a hallway with columns that are laying in sunlight, in the style of monolithic structures, accurate and detailed"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_3101e86f-6bc5-4905-a168-48961bc497d2.png,""a stone lined walkway with columns, in the style of ray tracing, egyptian art, 8k resolution, bold structural designs, studyplace, serenity and harmony, iso 200"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_3101e86f-6bc5-4905-a168-48961bc497d2.png,""the hallway has columns in the middle, in the style of photorealistic accuracy, samikshavad, ancient egypt, ray tracing, muted colorscape mastery, low-angle, hurufiyya"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_3101e86f-6bc5-4905-a168-48961bc497d2.png,""the columns is very high and narrow, in the style of perspective rendering, samikshavad, , 8k resolution, photorealistic representation, solarizing master,"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_604c405f-55cd-4c74-a14b-6fb4db31bd9a.png,""a hallway with columns that are laying in sunlight, in the style of monolithic structures, accurate and detailed"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_604c405f-55cd-4c74-a14b-6fb4db31bd9a.png,""a stone lined walkway with columns, in the style of ray tracing, egyptian art, 8k resolution, bold structural designs, studyplace, serenity and harmony, iso 200"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_604c405f-55cd-4c74-a14b-6fb4db31bd9a.png,""the hallway has columns in the middle, in the style of photorealistic accuracy, samikshavad, ancient egypt, ray tracing, muted colorscape mastery, low-angle, hurufiyya"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_604c405f-55cd-4c74-a14b-6fb4db31bd9a.png,""the columns is very high and narrow, in the style of perspective rendering, samikshavad, , 8k resolution, photorealistic representation, solarizing master,"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_98f78f3c-7a03-4ccd-b1ba-bd147b96c9cb.png,""the walkway inside an ancient temple in egypt, in the style of lens flare, columns and totems, serene atmospheric perspective, landscape photography, cartelcore, concrete brutalism, golden light"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_98f78f3c-7a03-4ccd-b1ba-bd147b96c9cb.png,""the entrance to an ancient temple in egypt, in the style of lens flare, columns and totems, serene atmospheric perspective, matte photo, , expansive spaces, orderly symmetry"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_98f78f3c-7a03-4ccd-b1ba-bd147b96c9cb.png,""the entrance room of the egyptian lithophane temple with large columns, in the style of golden light, monolithic structures, serene atmospheric perspective, columns and totems, high quality photo, , post processing"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_98f78f3c-7a03-4ccd-b1ba-bd147b96c9cb.png,""huge egyptian temple buildings in luxor the bahsat egypt, in the style of light-filled compositions, matte photo, passage, golden light, columns and totems, high quality photo, zen-like tranquility"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_a32e3801-b947-49f2-b7c7-412a1d8d34a5.png,""this image shows an entrance of the columns of a temple, in the style of ancient egypt, light-filled"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_a32e3801-b947-49f2-b7c7-412a1d8d34a5.png,""a passageway with columns and carvings, in the style of egyptian iconography, lens flares, pinhole cameras, monolithic structures, cabincore, focus stacking, dansaekhwa"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_a32e3801-b947-49f2-b7c7-412a1d8d34a5.png,""a line of columns, that is shaped like a tunnel, in the style of egyptian iconography, natural lighting, pinhole cameras, nabis, stone, dansaekhwa, passage"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_a32e3801-b947-49f2-b7c7-412a1d8d34a5.png,""egypt  photo gallery | luxor temple, egypt luxor temple, in the style of light-filled compositions, , columns and totems, iso 200, dogon art, serene atmospheric perspective, passage"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_deac3870-8101-43c0-b5be-ad610fde953f.png,""ancient egypt temples inside ancient ruins, in the style of grandiose composition, light-filled, subtle atmospheric perspective, columns and totems, trompe-l'oeil effect, uhd image, national geographic photo"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_deac3870-8101-43c0-b5be-ad610fde953f.png,""temples in ancient egypt, in the style of light-filled, intricately textured, tokina at-x 11-16mm f/2.8 pro dx ii, columns and totems, uhd image, serene atmospheric perspective, escher-inspired"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_deac3870-8101-43c0-b5be-ad610fde953f.png,""egypt's royal palaces complex, in the style of serene compositions, linear perspective, columns and totems, exquisite lighting, uhd image, cabincore,"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_style_by_deac3870-8101-43c0-b5be-ad610fde953f.png,""ruins of khan sema in egypt, in the style of calming symmetry, realistic depiction of light, , columns and totems, skillful lighting, uhd image, cabincore"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Apollodo_8ecfc19f-d77a-4cfb-bb94-015bc11f3c4f.png,""the columns of a building with pillars, in the style of futurist claims, antique influences, cultural heritage"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Apollodo_8ecfc19f-d77a-4cfb-bb94-015bc11f3c4f.png,""old building with columns outside, in the style of futurist claims, ancient world motifs"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Apollodo_8ecfc19f-d77a-4cfb-bb94-015bc11f3c4f.png,""a row of columns in front of an old temple, in the style of futuristic architecture, orientalist influences, caravaggesque, the san francisco renaissance., muted colorscape mastery, arched doorways, contax tix"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Apollodo_8ecfc19f-d77a-4cfb-bb94-015bc11f3c4f.png,""a row of stone columns on the outside of a building, in the style of futurist claims, baroque decadence, mesopotamian art, rich and immersive, arched doorways, miscellaneous academia, 500â€“1000 ce"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Apollodo_b53289ee-a26d-48c2-a2d6-c6c63b0b2596.png,""a huge lobby with columns and arches, in the style of , high detailed, contax ii, hudson river school, focus stacking, high quality photo, ornate details"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Apollodo_b53289ee-a26d-48c2-a2d6-c6c63b0b2596.png,""large interior courtyard with large columned building in the middle, in the style of photorealistic accuracy, ethereal sculptures, new york city subject matter, neo-victorian, high quality photo, spirals and curves, delicately detailed"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Apollodo_b53289ee-a26d-48c2-a2d6-c6c63b0b2596.png,""a large hall with columns is built in the old building, in the style of 19th century american art, fractalism, hyper-realistic sculptures, late 19th century, canon af35m, ornate detailing, matte photo"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Apollodo_b53289ee-a26d-48c2-a2d6-c6c63b0b2596.png,""an elaborately decorated room with large steps and columns, in the style of post processing, sculptural architecture, , the san francisco renaissance., light-filled scenes, focus stacking,"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Apollodo_eb266e61-164b-4be1-972f-ee2e32749892.png,""pillars in a building, in the style of dramatic splendor, light-filled, monumental architecture, grandiose architecture, lens flare, neoclassicist influences, contax t2"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Apollodo_eb266e61-164b-4be1-972f-ee2e32749892.png,""pillars, in the style of grandiose architecture, light-filled, modernist architecture, dramatic splendor, low-angle, 19th century style, captivating light"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Apollodo_eb266e61-164b-4be1-972f-ee2e32749892.png,""front of a white building, in the style of dramatic splendor, monumental architecture, lens flares, classical balance, light brown and beige, grandiose interiors, contax t2"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Apollodo_eb266e61-164b-4be1-972f-ee2e32749892.png,""a column, in the style of grandiose architecture, light-filled compositions, sunrays shine upon it, classical architecture, contemporary classicism, structural symmetry, fragmented architecture"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Marcus_V_97764940-7ab9-4521-8eda-4105ec535cb2.png,""pillars in a building, in the style of dramatic splendor, light-filled, monumental architecture, grandiose architecture, lens flare, neoclassicist influences, contax t2"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Marcus_V_97764940-7ab9-4521-8eda-4105ec535cb2.png,""pillars, in the style of grandiose architecture, light-filled, modernist architecture, dramatic splendor, low-angle, 19th century style, captivating light"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Marcus_V_97764940-7ab9-4521-8eda-4105ec535cb2.png,""front of a white building, in the style of dramatic splendor, monumental architecture, lens flares, classical balance, light brown and beige, grandiose interiors, contax t2"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Marcus_V_97764940-7ab9-4521-8eda-4105ec535cb2.png,""a column, in the style of grandiose architecture, light-filled compositions, sunrays shine upon it, classical architecture, contemporary classicism, structural symmetry, fragmented architecture"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Marcus_V_b45bcb78-8951-40f9-846c-a92dfe3c66d8.png,""an interior shot of a building with columns that are stacked high, in the style of , neoclassical clarity, zeiss batis 18mm f/2.8, intricately sculpted, the san francisco renaissance., subtle atmospheric perspective,"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Marcus_V_b45bcb78-8951-40f9-846c-a92dfe3c66d8.png,""white columns and columns in an old building, in the style of , ray tracing"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Marcus_V_b45bcb78-8951-40f9-846c-a92dfe3c66d8.png,""an old building made up of columns and doors, in the style of ray tracing, marble sculpture, quiet contemplation, associated press photo, richly layered, expansive spaces, photorealistic detail"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Marcus_V_b45bcb78-8951-40f9-846c-a92dfe3c66d8.png,""large library with columns next a white wall, in the style of hasselblad h6d-400c, the san francisco renaissance., ray tracing, concrete brutalism, golden light, 1000â€“1400 ce, photographically detailed portraitures"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Marcus_V_ce6879b4-424d-4a13-9190-782d4ca381f8.png,""columns by a high ceiling in a building, in the style of hasselblad h6d-400c, uhd image, detailed imagery, low-angle"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Marcus_V_ce6879b4-424d-4a13-9190-782d4ca381f8.png,""a row of columns inside a building, in the style of low-angle, precisionism influence, blown-off-roof perspective, marble, light-filled, intricately sculpted, manapunk"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Marcus_V_ce6879b4-424d-4a13-9190-782d4ca381f8.png,""the columns are white with a blue sky, in the style of , leica m6, post processing, , low-angle, light-filled, tokina opera 50mm f/1.4 ff"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Marcus_V_ce6879b4-424d-4a13-9190-782d4ca381f8.png,""a view from some columns, in the style of low-angle, , natural lighting, uhd image, marble, atmospheric perspective, contax/yashica mount"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_0b8405e9-d703-4407-9092-c60b75829736.png,""columns by a high ceiling in a building, in the style of hasselblad h6d-400c, uhd image, detailed imagery, low-angle"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_0b8405e9-d703-4407-9092-c60b75829736.png,""a row of columns inside a building, in the style of low-angle, precisionism influence, blown-off-roof perspective, marble, light-filled, intricately sculpted, manapunk"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_0b8405e9-d703-4407-9092-c60b75829736.png,""the columns are white with a blue sky, in the style of , leica m6, post processing, , low-angle, light-filled, tokina opera 50mm f/1.4 ff"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_0b8405e9-d703-4407-9092-c60b75829736.png,""a view from some columns, in the style of low-angle, , natural lighting, uhd image, marble, atmospheric perspective, contax/yashica mount"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_5617d502-67ab-4959-9ee3-b7073f7bc25f.png,""white columns grouped together with sun behind, in the style of baroque ornateness, hyper-realistic details, the san francisco renaissance., focus stacking, eco-friendly craftsmanship, muted colorscape mastery, 500â€“1000 ce"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_5617d502-67ab-4959-9ee3-b7073f7bc25f.png,""antique pillars and architecture, in the style of ray tracing, neoclassical clarity, , white and beige, low-angle shots, realistic detail, the san francisco renaissance."""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_5617d502-67ab-4959-9ee3-b7073f7bc25f.png,""archway with white columns in a temple, in the style of focus stacking, the san francisco renaissance., photorealistic detailing, american tonalist, eco-friendly craftsmanship, precisionism influence, uhd image"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_5617d502-67ab-4959-9ee3-b7073f7bc25f.png,""a temple with pillars in the background of sunlight, in the style of neoclassical clarity, white and beige, the san francisco renaissance., minimalist photography, focus stacking, 19th century american art, detail-oriented"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_accbee4d-b051-498a-9d47-c49aec078c4d.png,""many columns in a building with a tall ceiling, in the style of classical still life, fine lines, delicate curves, sculptural alchemy, natural lighting, , detailed marine views, rounded"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_accbee4d-b051-498a-9d47-c49aec078c4d.png,""old columns in an old building, in the style of classical revival, ray tracing, , circular shapes, , smooth and curved lines, light-filled"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_accbee4d-b051-498a-9d47-c49aec078c4d.png,""pillars and arches in the inside of an empty building, in the style of classical architectural details, ethereal symbolism, multi-layered, classical revival, light-filled, spherical sculptures, rim light"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_accbee4d-b051-498a-9d47-c49aec078c4d.png,""space with columns and windows, in the style of ornate architectural elements, soft atmospheric perspective, focus stacking, 19th century american art, rounded forms, light-filled compositions, low-angle"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_b57de458-043c-4505-890f-c4f43bf7b5b0.png,""building with columns and columns  stock photo, in the style of intricate ceiling designs, unpolished authenticity, uhd image, realistic blue skies"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_b57de458-043c-4505-890f-c4f43bf7b5b0.png,""columns at the top of a building with some clouds, in the style of intricate ceiling designs, precisionism influence, neoclassicist influences, , large-scale installations, classical architectural details, fine lines and intricate details"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_b57de458-043c-4505-890f-c4f43bf7b5b0.png,""pillars that lead up to the sky above, in the style of classical architecture, focus stacking, , fine lines and intricate details, mythological symbolism, wide lens, science academia"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_by_Vitruviu_b57de458-043c-4505-890f-c4f43bf7b5b0.png,""an old building with two columns and a sky background, in the style of intricate ceiling designs, new york city subject matter, classicist portraiture, spherical sculptures, long exposure, fine lines, delicate curves, realist: lifelike accuracy"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_style2_Colu_53635904-5731-42e1-87d3-c34f62cb4ba3.png,""building with columns and columns  stock photo, in the style of intricate ceiling designs, unpolished authenticity, uhd image, realistic blue skies"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_style2_Colu_53635904-5731-42e1-87d3-c34f62cb4ba3.png,""columns at the top of a building with some clouds, in the style of intricate ceiling designs, precisionism influence, neoclassicist influences, , large-scale installations, classical architectural details, fine lines and intricate details"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_style2_Colu_53635904-5731-42e1-87d3-c34f62cb4ba3.png,""pillars that lead up to the sky above, in the style of classical architecture, focus stacking, , fine lines and intricate details, mythological symbolism, wide lens, science academia"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_style2_Colu_53635904-5731-42e1-87d3-c34f62cb4ba3.png,""an old building with two columns and a sky background, in the style of intricate ceiling designs, new york city subject matter, classicist portraiture, spherical sculptures, long exposure, fine lines, delicate curves, realist: lifelike accuracy"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_style2_Colu_7a3b3a3c-bc49-4d41-80ab-508cb6d658c9.png,""interior of building with column pillars, in the style of realist fine details, elaborate facades, hyper-realistic sculptures, barroco, raw authenticity, late 19th century, smooth and curved lines"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_style2_Colu_7a3b3a3c-bc49-4d41-80ab-508cb6d658c9.png,""large white columns and a stone, in the style of vray tracing, the san francisco renaissance., photo-realistic techniques, detailed architecture, hazy atmospheres, 19th century french academy, hyper-realistic details"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_style2_Colu_7a3b3a3c-bc49-4d41-80ab-508cb6d658c9.png,""a large building has columns that are on standby, in the style of detailed architectural elements, photo-realistic, , uhd image, 19th century, , ornate simplicity"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Roman_architecture_style2_Colu_7a3b3a3c-bc49-4d41-80ab-508cb6d658c9.png,""large building with white columns and arches, in the style of vray tracing, baroque ornate and dramatic compositions, unreal engine 5, glazed surfaces, beige, photorealistic detail, ricoh gr iii"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Art_Deco_architecture_by_Erich_Mendels_229d8d66-10c4-4868-9995-9c7d123b102c.png,""a building that has an art deco design is shown in a light green color, in the style of light gold and turquoise, detail-oriented, photography installations, eccentric detail placements, white and bronze, 8k resolution, nature-inspired art nouveau"""

